,code_before,comment,code_after
0,"public void initialize(IManagedForm form) { super.initialize(form); fwkContentProvider.onContentReady(new Success<List<OSGiFramework>,Void>() { @Override public Promise<Void> call(Promise<List<OSGiFramework>> resolved) throws Exception { Display.getDefault().asyncExec(new Runnable() { @Override public void run() { refreshFromModel(); } }); <START> return Promises.resolved(null); <END> } }); frameworkViewer.setInput(model.getWorkspace()); }",return null here,"public void initialize(IManagedForm form) { super.initialize(form); fwkContentProvider.onContentReady(new Success<List<OSGiFramework>,Void>() { @Override public Promise<Void> call(Promise<List<OSGiFramework>> resolved) throws Exception { Display.getDefault().asyncExec(new Runnable() { @Override public void run() { refreshFromModel(); } }); return null; } }); frameworkViewer.setInput(model.getWorkspace()); }"
1,"protected void handleError(final Exception e, final String correlationUid, final String organisationIdentification, final String deviceIdentification, final String messageType) { LOGGER.error(""Handling error for message type: "" + messageType, e); OsgpException osgpException = null; if (e instanceof OsgpException) { osgpException = (OsgpException) e; } else { osgpException = new TechnicalException(ComponentType.DOMAIN_CORE, ""An unknown error occurred"", e); } <START> this.webServiceResponseMessageSender.send(ResponseMessage.newResponseMessageBuilder() <END> .withCorrelationUid(correlationUid).withOrganisationIdentification(organisationIdentification) .withDeviceIdentification(deviceIdentification).withResult(ResponseMessageResultType.NOT_OK) .withOsgpException(osgpException).withDataObject(e).build()); }","Extract building of ResponseMessage variable (in eclipse, select text, right-click > refactor > extract local variable / select code + shift+alt+L). This code a bit more readable, especially passing in other besides ResponseMessage","protected void handleError(final Exception e, final String correlationUid, final String organisationIdentification, final String deviceIdentification, final String messageType) { LOGGER.error(""Handling error for message type: "" + messageType, e); OsgpException osgpException = null; if (e instanceof OsgpException) { osgpException = (OsgpException) e; } else { osgpException = new TechnicalException(ComponentType.DOMAIN_CORE, ""An unknown error occurred"", e); } ResponseMessage responseMessage = ResponseMessage.newResponseMessageBuilder() .withCorrelationUid(correlationUid).withOrganisationIdentification(organisationIdentification) .withDeviceIdentification(deviceIdentification).withResult(ResponseMessageResultType.NOT_OK) .withOsgpException(osgpException).withDataObject(e).build(); this.webServiceResponseMessageSender.send(responseMessage); }"
2,public EventBuilder setEventData(Eventful entity) { if (entity != null) { if (entity instanceof Named && ((Named) entity).getName() != null) { event.setTargetName(((Named) entity).getName()); } if (entity instanceof Owned) { Owner entityOwner = ((Owned) entity).getOwner(); if (entityOwner != null && entityOwner.getId() != null) { event.setOwnerId(entityOwner.getId()); } } if (entity instanceof Entitlement) { event.setReferenceType(Event.ReferenceType.POOL); Pool referencedPool = ((Entitlement) entity).getPool(); if (referencedPool != null && referencedPool.getId() != null) { event.setReferenceId(referencedPool.getId()); } } if ((String) entity.getId() != null) { event.setEntityId((String) entity.getId()); if (entity instanceof ConsumerProperty) { Consumer owningConsumer = ((ConsumerProperty) entity).getConsumer(); if (owningConsumer != null && owningConsumer.getId() != null) { event.setConsumerId(owningConsumer.getId()); } } } <START> factory.entityToJson(entity); <END> } return this; },"java protected String entityToJson(Object entity) { String newEntityJson = """"; // TODO: Throw auditing exception // Drop data consumer do want serialized, Jackson // care XmlTransient annotations here: try { newEntityJson = mapper.writeValueAsString(entity); } catch (Exception e) { log.warn(""Unable jsonify: "" + entity); log.error(""jsonification failed!"", e); } return newEntityJson; } is run entityToJson. I side effects happen in code",public EventBuilder setEventData(Eventful entity) { if (entity != null) { if (entity instanceof Named && ((Named) entity).getName() != null) { event.setTargetName(((Named) entity).getName()); } if (entity instanceof Owned) { Owner entityOwner = ((Owned) entity).getOwner(); if (entityOwner != null && entityOwner.getId() != null) { event.setOwnerId(entityOwner.getId()); } } if (entity instanceof Entitlement) { event.setReferenceType(Event.ReferenceType.POOL); Pool referencedPool = ((Entitlement) entity).getPool(); if (referencedPool != null && referencedPool.getId() != null) { event.setReferenceId(referencedPool.getId()); } } if ((String) entity.getId() != null) { event.setEntityId((String) entity.getId()); if (entity instanceof ConsumerProperty) { Consumer owningConsumer = ((ConsumerProperty) entity).getConsumer(); if (owningConsumer != null && owningConsumer.getId() != null) { event.setConsumerId(owningConsumer.getId()); } } } } return this; }
3,"<START> public void getSetBits(int batchSize, boolean[] vector) <END> throws IOException { for (int i = 0; i < batchSize; i++) { vector[i] = nextBit(); } }","@dain, this return int in aligning getUnsetBits? existing getSetBits (write bits a BlockBuilder) returns void tough","public int getSetBits(int batchSize, boolean[] vector) throws IOException { int count = 0; for (int i = 0; i < batchSize; i++) { vector[i] = nextBit(); count += vector[i] ? 1 : 0; } return count; }"
4,"public void testSetupInvalidChildFromBaseClass() throws Exception { final TestBean testBean = new TestBean(); final DefaultConfiguration conf = new DefaultConfiguration(""testConf""); final Field field = AutomaticBean.class.getDeclaredField(""configuration""); field.setAccessible(true); field.set(testBean, conf); try { testBean.setupChild(conf); fail(""expecting checkstyle exception""); } catch (CheckstyleException ex) { <START> assertEquals(""expected exception"", ""testConf is not allowed as a child in testConf"", <END> ex.getMessage()); } }",@rnveach I name for parent child confuse,"public void testSetupInvalidChildFromBaseClass() throws Exception { final TestBean testBean = new TestBean(); final DefaultConfiguration parentConf = new DefaultConfiguration(""parentConf""); final DefaultConfiguration childConf = new DefaultConfiguration(""childConf""); final Field field = AutomaticBean.class.getDeclaredField(""configuration""); field.setAccessible(true); field.set(testBean, parentConf); try { testBean.setupChild(childConf); fail(""expecting checkstyle exception""); } catch (CheckstyleException ex) { assertEquals(""expected exception"", ""childConf is not allowed as a child in parentConf"", ex.getMessage()); } }"
5,"public Mono<Void> handleResult(ServerWebExchange exchange, HandlerResult result) { <START> Assert.notNull(result, ""'result' must not be null""); <END> return (Mono<Void>) result.getReturnValue(); }","I this is reported issue; problem is result.getReturnValue() return null, is allowed handleResult contract","public Mono<Void> handleResult(ServerWebExchange exchange, HandlerResult result) { Object returnValue = result.getReturnValue(); return returnValue == null ? Mono.empty() : (Mono<Void>) returnValue; }"
6,"protected void moveOrCopyAllImageGroups(Guid containerID, Iterable<DiskImage> disks) { for (DiskImage disk : disks) { ActionReturnValue vdcRetValue = runInternalActionWithTasksContext( ActionType.CopyImageGroup, buildMoveOrCopyImageGroupParametersForDisk(disk, containerID)); if (!vdcRetValue.getSucceeded()) { throw new EngineException(vdcRetValue.getFault().getError(), ""Failed to copy disk!""); } <START> getReturnValue().getVdsmTaskIdList().addAll(vdcRetValue.getInternalVdsmTaskIdList()); <END> } }",I assume behavior ExportVmCommand. Do need this,"protected void moveOrCopyAllImageGroups(Guid containerID, Iterable<DiskImage> disks) { for (DiskImage disk : disks) { ActionReturnValue vdcRetValue = runInternalActionWithTasksContext( ActionType.CopyImageGroup, buildMoveOrCopyImageGroupParametersForDisk(disk, containerID)); if (!vdcRetValue.getSucceeded()) { throw new EngineException(vdcRetValue.getFault().getError(), ""Failed to copy disk!""); } getTaskIdList().addAll(vdcRetValue.getVdsmTaskIdList()); } }"
7,"private void onPreviewImage(DocDisplay docDisplay, String href, Position position, Range tokenRange) { String srcPath = href; if (!href.startsWith(""http"")) { srcPath = href.startsWith(""~/"") <START> ? ""files/"" + href.substring(2) <END> : ""file_show?path="" + StringUtil.encodeURIComponent(href); } String encoded = StringUtil.encodeURIComponent(srcPath); Element el = Document.get().getElementById(encoded); if (el != null) return; ImageElement imgEl = Document.get().createImageElement(); imgEl.setAttribute(""src"", srcPath); imgEl.getStyle().setProperty(""maxWidth"", ""100px""); ScreenCoordinates coordinates = docDisplay.documentPositionToScreenCoordinates(position); AnchoredPopupPanel panel = new AnchoredPopupPanel(docDisplay, tokenRange); panel.getElement().setId(encoded); panel.getElement().appendChild(imgEl); panel.setPopupPosition(coordinates.getPageX(), coordinates.getPageY() + 20); panel.show(); }",do need do special for Windows directory separators,"private void onPreviewImage(DocDisplay docDisplay, String href, Position position, Range tokenRange) { String srcPath = imgSrcPathFromHref(href); String encoded = StringUtil.encodeURIComponent(srcPath); Element el = Document.get().getElementById(encoded); if (el != null) return; AnchoredPopupPanel panel = new AnchoredPopupPanel(docDisplay, tokenRange, srcPath); panel.getElement().setId(encoded); ScreenCoordinates coordinates = docDisplay.documentPositionToScreenCoordinates(position); panel.setPopupPosition(coordinates.getPageX(), coordinates.getPageY() + 20); panel.show(); }"
8,"<START> public boolean isPeerReplicaLeaderForPartition(String partitionName, ReplicaId replicaId) { <END> rwLock.readLock().lock(); try { return peerLeaderReplicasByPartition.containsKey(partitionName) && peerLeaderReplicasByPartition.get( partitionName).contains(replicaId); } finally { rwLock.readLock().unlock(); } }",this method used,"public boolean isPeerReplicaLeaderForPartition(String partitionName, ReplicaId replicaId) { rwLock.readLock().lock(); try { return peerLeaderReplicasByPartition.getOrDefault(partitionName, Collections.emptySet()).contains(replicaId); } finally { rwLock.readLock().unlock(); } }"
9,"public boolean isDTS() { <START> return getCodecA() != null && (getCodecA().startsWith(""dts"") || ""dca"".equals(getCodecA()) || ""dca (dts)"".equals(getCodecA())); <END> }","return getCodecA() != null && (""dts"".contains(getCodecA()) || ""dca"".contains(getCodecA()));","public boolean isDTS() { return getCodecA() != null && (getCodecA().contains(""dts"") || getCodecA().contains(""dca"")); }"
10,"public IntervalList getLociToGenotype(final Collection<Fingerprint> fingerprints) { final IntervalList intervals = new IntervalList(this.haplotypes.getHeader()); for (final Fingerprint fp : fingerprints) { for (final HaplotypeProbabilities genotype : fp.values()) { final HaplotypeBlock h = genotype.getHaplotype(); for (final Snp snp : h.getSnps()) { intervals.add(new Interval(snp.getChrom(), snp.getPos(), snp.getPos(), false, snp.getName())); } } } <START> return intervals.sorted().uniqued(); <END> }",uniqued imply sorted,"public IntervalList getLociToGenotype(final Collection<Fingerprint> fingerprints) { final IntervalList intervals = new IntervalList(this.haplotypes.getHeader()); for (final Fingerprint fp : fingerprints) { for (final HaplotypeProbabilities genotype : fp.values()) { final HaplotypeBlock h = genotype.getHaplotype(); for (final Snp snp : h.getSnps()) { intervals.add(new Interval(snp.getChrom(), snp.getPos(), snp.getPos(), false, snp.getName())); } } } return intervals.uniqued(); }"
11,"protected String updateACHAccountIfNecessary(Person payee, PayeeACHAccountExtractDetail achDetail, PayeeACHAccount achAccount) { StringBuilder processingResults = new StringBuilder(); if (accountHasChanged(achDetail, achAccount)) { PayeeACHData achData = new PayeeACHData(payee, achDetail, achAccount.getPayeeIdentifierTypeCode(), achAccount); String accountUpdateErrors = createAndRoutePayeeACHAccountDocument(achData, this::setupDocumentForACHUpdate); processingResults.append(accountUpdateErrors); } else { <START> LOG.info(""Input file's account information for payee of type '"" + achAccount.getPayeeIdentifierTypeCode() <END> + ""' matches what is already in KFS; no updates will be made for this entry.""); } if (processingResults.length() > 0) { processingResults.append("" Update was NOT performed.""); LOG.warn(""updateACHAccountIfNecessary: "" + processingResults.toString()); } return processingResults.toString(); }",Missing method name,"protected String updateACHAccountIfNecessary(Person payee, PayeeACHAccountExtractDetail achDetail, PayeeACHAccount achAccount) { StringBuilder processingResults = new StringBuilder(); if (accountHasChanged(achDetail, achAccount)) { PayeeACHData achData = new PayeeACHData(payee, achDetail, achAccount.getPayeeIdentifierTypeCode(), achAccount); String accountUpdateErrors = createAndRoutePayeeACHAccountDocument(achData, this::setupDocumentForACHUpdate); processingResults.append(accountUpdateErrors); } else { LOG.info(""updateACHAccountIfNecessary: Input file's account information for payee of type '"" + achAccount.getPayeeIdentifierTypeCode() + ""' matches what is already in KFS; no updates will be made for this entry.""); } if (processingResults.length() > 0) { processingResults.append("" Update was NOT performed.""); LOG.warn(""updateACHAccountIfNecessary: "" + processingResults.toString()); } return processingResults.toString(); }"
